Area,Area_Code,year_2017,year_2018,year_2019,year_2020,year_2021
"itl221:Berkshire, Buckinghamshire and Oxfordshire",TLJ1,24141,24949,25974,25514,25545
"itl221:Surrey, East and West Sussex",TLJ2,24583,25501,26199,25544,26655
itl221:Hampshire and Isle of Wight,TLJ3,20583,21343,22075,21758,22393
itl221:Kent,TLJ4,20395,21082,21709,21580,22588
"itl221:Gloucestershire, Wiltshire and Bath/Bristol area",TLK1,20164,21032,21903,21425,21964
itl221:Dorset and Somerset,TLK2,19598,20393,21259,20866,21524
itl221:Cornwall and Isles of Scilly,TLK3,17615,17988,18746,18854,19772
itl221:Devon,TLK4,18156,18830,19519,19310,20003
itl221:West Wales and The Valleys,TLL1,15379,15924,16335,16505,17386
itl221:East Wales,TLL2,17100,17805,18220,18368,19119
itl221:North Eastern Scotland,TLM5,20534,21104,21707,21170,21503
itl221:Highlands and Islands,TLM6,17876,18497,19349,19188,19589
itl221:Eastern Scotland,TLM7,18802,19386,20182,19996,20500
itl221:West Central Scotland,TLM8,16983,17405,17878,17875,18316
itl221:Southern Scotland,TLM9,17351,17812,18439,18514,18989
itl221:Northern Ireland,TLN0,16012,16427,17045,16965,17636
itl321:Hartlepool and Stockton-on-Tees,TLC11,15850,16229,16809,16986,17615
itl321:South Teesside,TLC12,15176,15709,16137,16273,16664
itl321:Darlington,TLC13,16609,16910,17392,18004,18376
itl321:Durham,TLC14,15484,15903,16350,16362,17228
itl321:Northumberland,TLC21,18778,19191,19721,19586,20380
itl321:Tyneside,TLC22,15572,16038,16636,16713,17519
itl321:Sunderland,TLC23,15204,15402,15840,15831,16538
itl321:West Cumbria,TLD11,17429,17742,18295,18475,19099
itl321:East Cumbria,TLD12,19722,20256,20887,20519,20918
itl321:Manchester,TLD33,14452,15143,15681,16031,16894
itl321:Greater Manchester South West,TLD34,19098,19802,20556,20463,21019
itl321:Greater Manchester South East,TLD35,17955,18652,19345,19294,19626
itl321:Greater Manchester North West,TLD36,15759,16209,16719,16816,17102
itl321:Greater Manchester North East,TLD37,15442,16014,16638,16758,17025
itl321:Blackburn with Darwen,TLD41,13102,13719,14417,14948,15025
itl321:Blackpool,TLD42,15630,15976,16571,16713,16717
itl321:Lancaster and Wyre,TLD44,16686,17120,17610,17633,18695
itl321:Mid Lancashire,TLD45,18349,18899,19579,19528,20015
itl321:East Lancashire,TLD46,15258,15537,16049,16155,16097
itl321:Chorley and West Lancashire,TLD47,18148,18727,19619,19707,20232
itl321:Warrington,TLD61,19057,19927,20699,20633,20952
itl321:Cheshire East,TLD62,22725,23946,24824,24503,24684
itl321:Cheshire West and Chester,TLD63,20382,21114,21741,21509,21340
itl321:East Merseyside,TLD71,15942,16451,17243,17385,17654
itl321:Liverpool,TLD72,14868,15244,15600,15878,16976
itl321:Sefton,TLD73,17955,18290,18686,18943,19113
itl321:Wirral,TLD74,17492,18097,18747,18567,19359
"itl321:Kingston upon Hull, City of",TLE11,13751,14316,14761,15130,15038
itl321:East Riding of Yorkshire,TLE12,18441,19292,19846,19737,20430
itl321:North and North East Lincolnshire,TLE13,15618,16149,16693,16812,17515
itl321:York,TLE21,18278,19157,19772,19474,20884
itl321:North Yorkshire CC,TLE22,20580,21496,22148,21732,22634
"itl321:Barnsley, Doncaster and Rotherham",TLE31,15782,16231,16674,16852,17449
itl321:Sheffield,TLE32,14924,15504,15856,15764,17224
itl321:Bradford,TLE41,14487,14797,15300,15451,15704
itl321:Leeds,TLE42,17168,17948,18672,18663,19061
itl321:Calderdale and Kirklees,TLE44,16003,16603,17206,17105,17885
itl321:Wakefield,TLE45,16349,16753,17126,17403,18026
itl321:Derby,TLF11,15362,15983,16630,16685,16736
itl321:East Derbyshire,TLF12,15716,16352,17039,17453,18146
itl321:South and West Derbyshire,TLF13,18529,19071,19602,19472,20537
itl321:Nottingham,TLF14,12804,13118,13666,13800,15015
itl321:North Nottinghamshire,TLF15,16415,17113,17694,17723,18316
itl321:South Nottinghamshire,TLF16,18870,19276,19862,19838,20894
itl321:Leicester,TLF21,13130,13403,13908,14503,14605
itl321:Leicestershire CC and Rutland,TLF22,18656,19143,19928,19823,20519
itl321:West Northamptonshire,TLF24,20461,21394,21940,21790,21408
itl321:North Northamptonshire,TLF25,18492,18835,19387,19588,19690
itl321:Lincolnshire CC,TLF30,17240,17824,18441,18406,18955
"itl321:Herefordshire, County of",TLG11,18775,19465,20264,20249,21602
itl321:Worcestershire CC,TLG12,19732,20613,21201,21085,21556
itl321:Warwickshire CC,TLG13,21591,21983,22403,21966,22235
itl321:Telford and Wrekin,TLG21,16208,16677,17163,17352,17711
